
Index,Match Result,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5
0,Victory,Silvanna,Claude,Paquito,Gord,Martis
1,Defeat,Estes,Pharsa,Fredrinn,Moskov,Silvanna
2,Victory,Melissa,Gusion,Atlas,Karina,Silvanna
3,Defeat,Freya,Brody,Silvanna,Lancelot,Julian
4,Victory,Arlott,Lolita,Lesley,Pharsa,Silvanna
5,Defeat,Silvanna,Claude,Fanny,Martis,Gusion
6,Victory,Estes,Silvanna,Gloo,Brody,Martis
7,Victory,Melissa,Valentina,Natalia,Ruby,Silvanna
8,Defeat,Minsitthar,Melissa,Ling,Selena,Silvanna
9,Victory,Silvanna,Granger,Xavier,Estes,Lesley
10,Victory,Silvanna,Selena,Lesley,Fanny,Aldous
11,Victory,Faramis,Silvanna,Beatrix,Yu Zhong,Martis
12,Victory,Minsitthar,Claude,Julian,Aldous,Silvanna
13,Victory,Estes,Silvanna,Lapu-Lapu,Fredrinn,Claude
14,Victory,Silvanna,Martis,Estes,Claude,Xavier
15,Victory,Moskov,Martis,Silvanna,Xavier,Aldous
16,Victory,Silvanna,Claude,Ling,Eudora,Aldous
17,Victory,Balmond,Pharsa,Gusion,Layla,Moskov
18,Victory,Valir,Odette,Melissa,Balmond,Sun
19,Defeat,Moskov,Balmond,Aldous,Angela,Vale
20,Victory,Lolita,Karrie,Ling,Lapu-Lapu,Aurora
21,Victory,Minsitthar,Balmond,Karrie,Nana,Kadita
22,Defeat,Xavier,Martis,Lapu-Lapu,Tigreal,Hanabi
23,Victory,Estes,Lylia,Hanabi,Lapu-Lapu,Harley
24,Victory,Minsitthar,Clint,Xavier,Franco,Balmond
25,Victory,Melissa,Valentina,Hayabusa,Lapu-Lapu,Tigreal
26,Defeat,Selena,Lapu-Lapu,Lesley,Nana,Paquito
27,Victory,Estes,Balmond,Zhask,Dyrroth,Beatrix
28,Victory,Estes,Balmond,Gord,Lesley,Thamuz
29,Defeat,Vexana,Tigreal,Clint,Aamon,Balmond
30,Defeat,Wanwan,Vexana,Kaja,Lapu-Lapu,Ling
31,Victory,Bane,Balmond,Vexana,Atlas,Claude
32,Victory,Cyclops,Floryn,Hanabi,Lapu-Lapu,Saber
33,Defeat,Balmond,Franco,Alice,Brody,Paquito
34,Defeat,Kimmy,Aldous,Balmond,Vale,Moskov
35,Defeat,Gloo,Balmond,Nana,Diggie,Bruno
36,Defeat,Melissa,Xavier,Lolita,Helcurt,Yu Zhong
37,Defeat,Valentina,Brody,Lapu-Lapu,Helcurt,Floryn
38,Defeat,Minsitthar,Claude,Floryn,Julian,Helcurt
39,Victory,Valentina,Lapu-Lapu,Estes,Helcurt,Brody
40,Victory,Khufra,Helcurt,Fredrinn,Pharsa,Beatrix
41,Defeat,Fredrinn,Lesley,Valentina,Khufra,Helcurt
42,Defeat,Khufra,Lapu-Lapu,Xavier,Lesley,Hayabusa
43,Victory,Xavier,Brody,Gloo,Kaja,Helcurt
44,Victory,Valentina,Khufra,Claude,Lapu-Lapu,Helcurt
45,Defeat,Xavier,Ruby,Brody,Helcurt,Kaja
46,Defeat,Julian,Gord,Brody,Helcurt,Cecilion
47,Victory,Terizla,Helcurt,Yve,Lolita,Brody
48,Victory,Aamon,Cyclops,Floryn,Brody,Helcurt
49,Victory,Gloo,Xavier,Moskov,Floryn,Helcurt
50,Victory,Thamuz,Claude,Xavier,Helcurt,Lolita
51,Defeat,Joy,Lapu-Lapu,Grock,Lesley,Xavier
52,Defeat,Valentina,Brody,Khufra,Esmeralda,Helcurt
53,Victory,Edith,Kadita,Thamuz,Fredrinn,Claude
54,Defeat,Popol and Kupa,Fredrinn,Pharsa,X.Borg,Selena
55,Victory,Pharsa,Grock,Harley,Franco,Claude
56,Defeat,Beatrix,Mathilda,Cecilion,Martis,Fredrinn
57,Victory,Arlott,Lesley,Xavier,Franco,Helcurt
58,Victory,Lylia,Chou,Franco,Karrie,Martis
59,Victory,Fredrinn,Moskov,Paquito,Natalia,Kagura
60,Defeat,Fredrinn,Floryn,Cyclops,Kaja,Moskov
61,Defeat,Cecilion,Edith,Chou,Fredrinn,Clint
62,Victory,Franco,Fredrinn,Faramis,Claude,Yi Sun-shin
63,Defeat,Wanwan,Angela,Xavier,Fredrinn,Ling
64,Defeat,Lapu-Lapu,Franco,Fredrinn,Nana,Bruno
65,Defeat,Beatrix,Martis,Gloo,Kagura,Franco
66,Defeat,Lesley,Franco,Luo Yi,Sun,Yin
67,Victory,Luo Yi,Lesley,Aldous,Franco,Fredrinn
68,Victory,Arlott,Beatrix,Franco,Hanzo,Alice
69,Victory,Pharsa,Lapu-Lapu,Hayabusa,Beatrix,Estes
70,Defeat,Valentina,Khufra,Martis,X.Borg,Lesley
71,Victory,Estes,Fredrinn,Wanwan,Chou,Yve
72,Victory,Gloo,Clint,Belerick,Valentina,Aamon
73,Victory,Khaleed,Pharsa,Arlott,Brody,Lolita
74,Victory,Valentina,Fredrinn,Khaleed,Lesley,Atlas
75,Defeat,Gloo,Lancelot,Diggie,Lesley,Pharsa
76,Defeat,Yve,Hanabi,Khaleed,Khufra,Benedetta
77,Defeat,Valentina,Lancelot,Khaleed,Franco,Lesley
78,Defeat,Khaleed,Pharsa,Diggie,Fredrinn,Clint
79,Victory,Khaleed,Harley,Hayabusa,Hilda,Bruno
80,Defeat,Khaleed,Yve,Wanwan,Kaja,Saber
81,Defeat,Natalia,Julian,Khaleed,Lylia,Popol and Kupa
82,Victory,Kagura,Angela,Khaleed,Hayabusa,Moskov
83,Victory,Minsitthar,Kagura,Natan,Atlas,Fanny
84,Defeat,Yve,Hayabusa,Khaleed,Lesley,Franco
85,Victory,Kagura,Lolita,Moskov,Helcurt,Khaleed
86,Victory,Balmond,Claude,Kagura,Khaleed,Atlas
87,Victory,Kagura,Karrie,Khufra,Khaleed,Hanzo
88,Defeat,Khaleed,Lylia,Brody,Fanny,Hylos
89,Defeat,Kaja,Pharsa,Brody,Lancelot,Hilda
90,Victory,Valentina,Khaleed,Hanzo,Khufra,Karrie
91,Defeat,Beatrix,Belerick,Aurora,Yu Zhong,Lancelot
92,Victory,Martis,Aurora,Franco,Dyrroth,Moskov
93,Victory,Beatrix,Aurora,Claude,Yi Sun-shin,Aldous
94,Defeat,Martis,Aurora,Belerick,Khaleed,Lesley
95,Defeat,Hayabusa,Aurora,Kaja,Brody,Aldous
96,Defeat,Melissa,Selena,Saber,Bane,Nana
97,Victory,Change,Harley,Bane,Miya,Claude
98,Defeat,Cyclops,Benedetta,Freya,Harley,Miya
99,Victory,Gloo,Aurora,Yi Sun-shin,Belerick,Brody
100,Defeat,Martis,Aurora,Minsitthar,X.Borg,Karrie
101,Victory,Minsitthar,Lesley,Jawhead,Chou,Kagura
102,Victory,Brody,Belerick,Hilda,Aurora,Aldous
103,Defeat,Minsitthar,Belerick,Lesley,Dyrroth,Selena
104,Defeat,Xavier,Belerick,Martis,Brody,Hilda
105,Defeat,Minsitthar,Selena,Irithel,Aurora,Barats
106,Victory,Minsitthar,Irithel,Selena,Barats,Aurora
107,Victory,Minsitthar,Selena,Irithel,Akai,Aurora
108,Victory,Selena,Aamon,Minsitthar,Belerick,Brody
109,Victory,Edith,Aurora,Hayabusa,Hanabi,Rafaela
110,Victory,Melissa,Aurora,Selena,Yin,Alpha
111,Victory,Argus,Ling,Beatrix,Phoveus,Rafaela
112,Defeat,Yve,Edith,Melissa,Argus,Ling
113,Victory,Argus,Franco,Wanwan,Pharsa,Martis
114,Defeat,Lolita,Argus,Pharsa,Hanzo,Clint
115,Victory,Miya,Vale,Argus,Aamon,Rafaela
116,Victory,Estes,Luo Yi,Gusion,Lesley,Argus
117,Victory,Nana,Floryn,Argus,Karrie,Aamon
118,Defeat,Argus,Karrie,Edith,Xavier,Aamon
119,Victory,Argus,Claude,Zhask,Gusion,Khufra
120,Victory,Valentina,Argus,Miya,Chou,Hayabusa
121,Victory,Xavier,Argus,Kaja,Natalia,Wanwan
122,Victory,Nana,Martis,Argus,Brody,Paquito
123,Defeat,Argus,Ling,Wanwan,Minotaur,Luo Yi
124,Victory,Argus,Sun,Selena,Diggie,Wanwan
125,Victory,Xavier,Ling,Argus,Atlas,Brody
126,Victory,Argus,Kadita,Claude,Luo Yi,Martis
127,Victory,Argus,Jawhead,Harley,Natalia,Beatrix
128,Defeat,Estes,Argus,Lesley,Harley,Pharsa
129,Victory,Argus,Franco,Luo Yi,Helcurt,Beatrix
130,Defeat,Irithel,Jawhead,Argus,Vale,Atlas
131,Victory,Wanwan,Kadita,Aldous,Hanzo,Johnson
132,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
133,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
134,Victory,Wanwan,Aldous,Grock,Kadita,Hanzo
135,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
136,Victory,Wanwan,Aldous,Hanzo,Julian,Johnson
